measurement_time,segment,speed_kph,0_5,day_of_week,hour_of_day
2025-05-02 17:48:00+00:00,2462220,109,31,4,17
2025-05-02 17:49:00+00:00,2462220,106,23,4,17
2025-05-02 17:50:00+00:00,2462220,108,23,4,17
2025-05-02 17:51:00+00:00,2462220,106,23,4,17
2025-05-02 17:52:00+00:00,2462220,105,22,4,17
2025-05-02 17:53:00+00:00,2462220,107,25,4,17
2025-05-02 17:54:00+00:00,2462220,105,25,4,17
2025-05-02 17:55:00+00:00,2462220,108,27,4,17
2025-05-02 17:56:00+00:00,2462220,110,26,4,17
2025-05-02 17:57:00+00:00,2462220,109,29,4,17
2025-05-02 17:58:00+00:00,2462220,108,27,4,17
2025-05-02 17:59:00+00:00,2462220,108,28,4,17
2025-05-02 18:00:00+00:00,2462220,107,28,4,18
2025-05-02 18:01:00+00:00,2462220,107,22,4,18
2025-05-02 18:02:00+00:00,2462220,109,18,4,18
2025-05-02 18:03:00+00:00,2462220,114,24,4,18
2025-05-02 18:04:00+00:00,2462220,110,28,4,18
2025-05-02 18:05:00+00:00,2462220,110,27,4,18
2025-05-02 18:06:00+00:00,2462220,110,29,4,18
2025-05-02 18:07:00+00:00,2462220,105,31,4,18
2025-05-02 18:08:00+00:00,2462220,108,24,4,18
2025-05-02 18:09:00+00:00,2462220,106,17,4,18
2025-05-02 18:10:00+00:00,2462220,105,22,4,18
2025-05-02 18:11:00+00:00,2462220,105,24,4,18
2025-05-02 18:12:00+00:00,2462220,107,29,4,18
2025-05-02 18:13:00+00:00,2462220,101,36,4,18
2025-05-02 18:14:00+00:00,2462220,109,35,4,18
2025-05-02 18:15:00+00:00,2462220,110,35,4,18
2025-05-02 18:16:00+00:00,2462220,109,33,4,18
2025-05-02 18:17:00+00:00,2462220,109,33,4,18
2025-05-02 18:18:00+00:00,2462220,111,29,4,18
2025-05-02 18:19:00+00:00,2462220,115,27,4,18
2025-05-02 18:20:00+00:00,2462220,109,29,4,18
2025-05-02 18:21:00+00:00,2462220,112,27,4,18
2025-05-02 18:22:00+00:00,2462220,113,26,4,18
2025-05-02 18:23:00+00:00,2462220,103,27,4,18
2025-05-02 18:24:00+00:00,2462220,109,28,4,18
2025-05-02 18:25:00+00:00,2462220,116,28,4,18
2025-05-02 18:26:00+00:00,2462220,113,26,4,18
2025-05-02 18:27:00+00:00,2462220,111,23,4,18
2025-05-02 18:28:00+00:00,2462220,108,22,4,18
2025-05-02 18:29:00+00:00,2462220,109,22,4,18
2025-05-02 18:30:00+00:00,2462220,105,21,4,18
2025-05-02 18:31:00+00:00,2462220,111,26,4,18
2025-05-02 18:32:00+00:00,2462220,112,21,4,18
2025-05-02 18:33:00+00:00,2462220,114,19,4,18
2025-05-02 18:34:00+00:00,2462220,111,24,4,18
2025-05-02 18:35:00+00:00,2462220,110,26,4,18
2025-05-02 18:36:00+00:00,2462220,106,26,4,18
2025-05-02 18:37:00+00:00,2462220,108,31,4,18
2025-05-02 18:38:00+00:00,2462220,110,30,4,18
2025-05-02 18:39:00+00:00,2462220,104,26,4,18
2025-05-02 18:40:00+00:00,2462220,108,28,4,18
2025-05-02 18:41:00+00:00,2462220,105,25,4,18
2025-05-02 18:42:00+00:00,2462220,107,23,4,18
2025-05-02 18:43:00+00:00,2462220,112,26,4,18
2025-05-02 18:44:00+00:00,2462220,117,25,4,18
2025-05-02 18:45:00+00:00,2462220,116,22,4,18
2025-05-02 18:46:00+00:00,2462220,111,23,4,18
2025-05-02 18:47:00+00:00,2462220,110,23,4,18
2025-05-02 18:48:00+00:00,2462220,108,26,4,18
2025-05-02 18:49:00+00:00,2462220,108,29,4,18
2025-05-02 18:50:00+00:00,2462220,107,32,4,18
2025-05-02 18:51:00+00:00,2462220,109,32,4,18
2025-05-02 18:52:00+00:00,2462220,114,32,4,18
2025-05-02 18:53:00+00:00,2462220,106,34,4,18
2025-05-02 18:54:00+00:00,2462220,105,31,4,18
2025-05-02 18:55:00+00:00,2462220,103,31,4,18
2025-05-02 18:56:00+00:00,2462220,104,32,4,18
2025-05-02 18:57:00+00:00,2462220,105,31,4,18
2025-05-02 18:58:00+00:00,2462220,107,23,4,18
2025-05-02 18:59:00+00:00,2462220,107,29,4,18
2025-05-02 19:00:00+00:00,2462220,104,27,4,19
2025-05-02 19:01:00+00:00,2462220,98,27,4,19
2025-05-02 19:02:00+00:00,2462220,99,25,4,19
2025-05-02 19:03:00+00:00,2462220,106,23,4,19
2025-05-02 19:04:00+00:00,2462220,109,24,4,19
2025-05-02 19:05:00+00:00,2462220,110,21,4,19
2025-05-02 19:06:00+00:00,2462220,106,22,4,19
2025-05-02 19:07:00+00:00,2462220,106,32,4,19
2025-05-02 19:08:00+00:00,2462220,107,27,4,19
2025-05-02 19:09:00+00:00,2462220,105,32,4,19
2025-05-02 19:10:00+00:00,2462220,102,34,4,19
2025-05-02 19:11:00+00:00,2462220,104,33,4,19
2025-05-02 19:12:00+00:00,2462220,109,30,4,19
2025-05-02 19:13:00+00:00,2462220,111,38,4,19
2025-05-02 19:14:00+00:00,2462220,110,34,4,19
2025-05-02 19:15:00+00:00,2462220,116,35,4,19
2025-05-02 19:16:00+00:00,2462220,116,33,4,19
