measurement_time,segment,speed_kph,0_5,day_of_week,hour_of_day
2025-05-02 17:48:00+00:00,2332541,105,56,4,17
2025-05-02 17:49:00+00:00,2332541,107,56,4,17
2025-05-02 17:50:00+00:00,2332541,107,48,4,17
2025-05-02 17:51:00+00:00,2332541,106,46,4,17
2025-05-02 17:52:00+00:00,2332541,100,48,4,17
2025-05-02 17:53:00+00:00,2332541,103,46,4,17
2025-05-02 17:54:00+00:00,2332541,108,47,4,17
2025-05-02 17:55:00+00:00,2332541,109,48,4,17
2025-05-02 17:56:00+00:00,2332541,101,54,4,17
2025-05-02 17:57:00+00:00,2332541,106,48,4,17
2025-05-02 17:58:00+00:00,2332541,108,47,4,17
2025-05-02 17:59:00+00:00,2332541,111,47,4,17
2025-05-02 18:00:00+00:00,2332541,109,41,4,18
2025-05-02 18:01:00+00:00,2332541,110,38,4,18
2025-05-02 18:02:00+00:00,2332541,108,43,4,18
2025-05-02 18:03:00+00:00,2332541,111,40,4,18
2025-05-02 18:04:00+00:00,2332541,110,44,4,18
2025-05-02 18:05:00+00:00,2332541,109,54,4,18
2025-05-02 18:06:00+00:00,2332541,109,50,4,18
2025-05-02 18:07:00+00:00,2332541,106,50,4,18
2025-05-02 18:08:00+00:00,2332541,103,49,4,18
2025-05-02 18:09:00+00:00,2332541,106,44,4,18
2025-05-02 18:10:00+00:00,2332541,107,36,4,18
2025-05-02 18:11:00+00:00,2332541,108,41,4,18
2025-05-02 18:12:00+00:00,2332541,102,41,4,18
2025-05-02 18:13:00+00:00,2332541,111,51,4,18
2025-05-02 18:14:00+00:00,2332541,106,55,4,18
2025-05-02 18:15:00+00:00,2332541,109,51,4,18
2025-05-02 18:16:00+00:00,2332541,106,54,4,18
2025-05-02 18:17:00+00:00,2332541,105,48,4,18
2025-05-02 18:18:00+00:00,2332541,107,46,4,18
2025-05-02 18:19:00+00:00,2332541,112,43,4,18
2025-05-02 18:20:00+00:00,2332541,100,48,4,18
2025-05-02 18:21:00+00:00,2332541,104,49,4,18
2025-05-02 18:22:00+00:00,2332541,109,45,4,18
2025-05-02 18:23:00+00:00,2332541,106,44,4,18
2025-05-02 18:24:00+00:00,2332541,103,38,4,18
2025-05-02 18:25:00+00:00,2332541,110,46,4,18
2025-05-02 18:26:00+00:00,2332541,108,46,4,18
2025-05-02 18:27:00+00:00,2332541,106,52,4,18
2025-05-02 18:28:00+00:00,2332541,102,48,4,18
2025-05-02 18:29:00+00:00,2332541,99,43,4,18
2025-05-02 18:30:00+00:00,2332541,102,33,4,18
2025-05-02 18:31:00+00:00,2332541,106,36,4,18
2025-05-02 18:32:00+00:00,2332541,112,35,4,18
2025-05-02 18:33:00+00:00,2332541,109,30,4,18
2025-05-02 18:34:00+00:00,2332541,110,35,4,18
2025-05-02 18:35:00+00:00,2332541,109,39,4,18
2025-05-02 18:36:00+00:00,2332541,107,34,4,18
2025-05-02 18:37:00+00:00,2332541,108,42,4,18
2025-05-02 18:38:00+00:00,2332541,114,44,4,18
2025-05-02 18:39:00+00:00,2332541,106,46,4,18
2025-05-02 18:40:00+00:00,2332541,106,38,4,18
2025-05-02 18:41:00+00:00,2332541,108,37,4,18
2025-05-02 18:42:00+00:00,2332541,108,31,4,18
2025-05-02 18:43:00+00:00,2332541,111,36,4,18
2025-05-02 18:44:00+00:00,2332541,115,34,4,18
2025-05-02 18:45:00+00:00,2332541,116,34,4,18
2025-05-02 18:46:00+00:00,2332541,108,36,4,18
2025-05-02 18:47:00+00:00,2332541,106,36,4,18
2025-05-02 18:48:00+00:00,2332541,114,36,4,18
2025-05-02 18:49:00+00:00,2332541,108,35,4,18
2025-05-02 18:50:00+00:00,2332541,111,40,4,18
2025-05-02 18:51:00+00:00,2332541,111,43,4,18
2025-05-02 18:52:00+00:00,2332541,117,40,4,18
2025-05-02 18:53:00+00:00,2332541,106,42,4,18
2025-05-02 18:54:00+00:00,2332541,103,47,4,18
2025-05-02 18:55:00+00:00,2332541,106,45,4,18
2025-05-02 18:56:00+00:00,2332541,101,40,4,18
2025-05-02 18:57:00+00:00,2332541,104,46,4,18
2025-05-02 18:58:00+00:00,2332541,106,42,4,18
2025-05-02 18:59:00+00:00,2332541,111,34,4,18
2025-05-02 19:00:00+00:00,2332541,107,40,4,19
2025-05-02 19:01:00+00:00,2332541,105,37,4,19
2025-05-02 19:02:00+00:00,2332541,112,35,4,19
2025-05-02 19:03:00+00:00,2332541,106,40,4,19
2025-05-02 19:04:00+00:00,2332541,114,43,4,19
2025-05-02 19:05:00+00:00,2332541,107,41,4,19
2025-05-02 19:06:00+00:00,2332541,107,46,4,19
2025-05-02 19:07:00+00:00,2332541,107,38,4,19
2025-05-02 19:08:00+00:00,2332541,107,38,4,19
2025-05-02 19:09:00+00:00,2332541,111,34,4,19
2025-05-02 19:10:00+00:00,2332541,106,35,4,19
2025-05-02 19:11:00+00:00,2332541,102,31,4,19
2025-05-02 19:12:00+00:00,2332541,105,32,4,19
2025-05-02 19:13:00+00:00,2332541,109,34,4,19
2025-05-02 19:14:00+00:00,2332541,106,43,4,19
2025-05-02 19:15:00+00:00,2332541,109,45,4,19
2025-05-02 19:16:00+00:00,2332541,106,48,4,19
2025-05-02 19:17:00+00:00,2332541,110,47,4,19
2025-05-02 19:18:00+00:00,2332541,107,44,4,19
2025-05-02 19:19:00+00:00,2332541,107,37,4,19
2025-05-02 19:20:00+00:00,2332541,104,43,4,19
2025-05-02 19:21:00+00:00,2332541,103,45,4,19
2025-05-02 19:22:00+00:00,2332541,103,45,4,19
2025-05-02 19:23:00+00:00,2332541,103,50,4,19
2025-05-02 19:24:00+00:00,2332541,108,58,4,19
2025-05-02 19:25:00+00:00,2332541,102,51,4,19
2025-05-02 19:26:00+00:00,2332541,105,51,4,19
2025-05-02 19:27:00+00:00,2332541,102,54,4,19
2025-05-02 19:28:00+00:00,2332541,102,51,4,19
2025-05-02 19:29:00+00:00,2332541,110,48,4,19
2025-05-02 19:30:00+00:00,2332541,97,50,4,19
2025-05-02 19:31:00+00:00,2332541,103,43,4,19
2025-05-02 19:32:00+00:00,2332541,104,46,4,19
2025-05-02 19:33:00+00:00,2332541,96,47,4,19
2025-05-02 19:34:00+00:00,2332541,102,50,4,19
2025-05-02 19:35:00+00:00,2332541,99,56,4,19
2025-05-02 19:36:00+00:00,2332541,100,55,4,19
2025-05-02 19:37:00+00:00,2332541,99,51,4,19
2025-05-02 19:38:00+00:00,2332541,99,53,4,19
2025-05-02 19:39:00+00:00,2332541,95,52,4,19
2025-05-02 19:40:00+00:00,2332541,107,58,4,19
2025-05-02 19:41:00+00:00,2332541,103,58,4,19
