measurement_time,segment,speed_kph,0_5,day_of_week,hour_of_day
2025-05-02 17:48:00+00:00,2471843,110,26,4,17
2025-05-02 17:49:00+00:00,2471843,110,24,4,17
2025-05-02 17:50:00+00:00,2471843,108,26,4,17
2025-05-02 17:51:00+00:00,2471843,107,25,4,17
2025-05-02 17:52:00+00:00,2471843,109,30,4,17
2025-05-02 17:53:00+00:00,2471843,111,31,4,17
2025-05-02 17:54:00+00:00,2471843,112,29,4,17
2025-05-02 17:55:00+00:00,2471843,112,27,4,17
2025-05-02 17:56:00+00:00,2471843,114,33,4,17
2025-05-02 17:57:00+00:00,2471843,114,31,4,17
2025-05-02 17:58:00+00:00,2471843,116,29,4,17
2025-05-02 17:59:00+00:00,2471843,113,30,4,17
2025-05-02 18:00:00+00:00,2471843,113,24,4,18
2025-05-02 18:01:00+00:00,2471843,108,23,4,18
2025-05-02 18:02:00+00:00,2471843,110,35,4,18
2025-05-02 18:03:00+00:00,2471843,112,42,4,18
2025-05-02 18:04:00+00:00,2471843,109,44,4,18
2025-05-02 18:05:00+00:00,2471843,116,44,4,18
2025-05-02 18:06:00+00:00,2471843,112,39,4,18
2025-05-02 18:07:00+00:00,2471843,110,33,4,18
2025-05-02 18:08:00+00:00,2471843,104,31,4,18
2025-05-02 18:09:00+00:00,2471843,108,33,4,18
2025-05-02 18:10:00+00:00,2471843,108,33,4,18
2025-05-02 18:11:00+00:00,2471843,104,35,4,18
2025-05-02 18:12:00+00:00,2471843,108,37,4,18
2025-05-02 18:13:00+00:00,2471843,110,38,4,18
2025-05-02 18:14:00+00:00,2471843,114,38,4,18
2025-05-02 18:15:00+00:00,2471843,116,36,4,18
2025-05-02 18:16:00+00:00,2471843,117,38,4,18
2025-05-02 18:17:00+00:00,2471843,114,35,4,18
2025-05-02 18:18:00+00:00,2471843,111,34,4,18
2025-05-02 18:19:00+00:00,2471843,114,32,4,18
2025-05-02 18:20:00+00:00,2471843,112,36,4,18
2025-05-02 18:21:00+00:00,2471843,107,40,4,18
2025-05-02 18:22:00+00:00,2471843,111,37,4,18
2025-05-02 18:23:00+00:00,2471843,115,40,4,18
2025-05-02 18:24:00+00:00,2471843,112,44,4,18
2025-05-02 18:25:00+00:00,2471843,109,36,4,18
2025-05-02 18:26:00+00:00,2471843,108,27,4,18
2025-05-02 18:27:00+00:00,2471843,119,33,4,18
2025-05-02 18:28:00+00:00,2471843,116,30,4,18
2025-05-02 18:29:00+00:00,2471843,112,23,4,18
2025-05-02 18:30:00+00:00,2471843,118,28,4,18
2025-05-02 18:31:00+00:00,2471843,112,29,4,18
2025-05-02 18:32:00+00:00,2471843,110,28,4,18
2025-05-02 18:33:00+00:00,2471843,110,25,4,18
2025-05-02 18:34:00+00:00,2471843,108,26,4,18
2025-05-02 18:35:00+00:00,2471843,116,28,4,18
2025-05-02 18:36:00+00:00,2471843,115,29,4,18
2025-05-02 18:37:00+00:00,2471843,114,25,4,18
2025-05-02 18:38:00+00:00,2471843,114,23,4,18
2025-05-02 18:39:00+00:00,2471843,106,27,4,18
2025-05-02 18:40:00+00:00,2471843,105,22,4,18
2025-05-02 18:41:00+00:00,2471843,108,24,4,18
2025-05-02 18:42:00+00:00,2471843,107,32,4,18
2025-05-02 18:43:00+00:00,2471843,109,30,4,18
2025-05-02 18:44:00+00:00,2471843,108,29,4,18
2025-05-02 18:45:00+00:00,2471843,109,32,4,18
2025-05-02 18:46:00+00:00,2471843,113,30,4,18
2025-05-02 18:47:00+00:00,2471843,116,26,4,18
2025-05-02 18:48:00+00:00,2471843,112,31,4,18
2025-05-02 18:49:00+00:00,2471843,110,30,4,18
